Campaign,Ad group,Max CPC,Status
Search — Assisted Living (Denver Metro),Littleton — Assisted Living,,Enabled
Search — Assisted Living (Denver Metro),Ken Caryl — Assisted Living,,Enabled
Search — Assisted Living (Denver Metro),Columbine — Assisted Living,,Enabled
Search — Assisted Living (Denver Metro),Columbine Valley — Assisted Living,,Enabled
Search — Assisted Living (Denver Metro),Bow Mar — Assisted Living,,Enabled
Search — Assisted Living (Denver Metro),Highlands Ranch — Assisted Living,,Enabled
Search — Assisted Living (Denver Metro),Englewood — Assisted Living,,Enabled
Search — Assisted Living (Denver Metro),Arvada — Assisted Living,,Enabled
Search — Assisted Living (Denver Metro),Wheat Ridge — Assisted Living,,Enabled
Search — Assisted Living (Denver Metro),Westminster — Assisted Living,,Enabled
Search — Assisted Living (Denver Metro),Golden — Assisted Living,,Enabled
Search — Assisted Living (Denver Metro),Lakewood — Assisted Living,,Enabled
Search — Assisted Living (Denver Metro),Morrison — Assisted Living,,Enabled
Search — Memory Care (Denver Metro),Littleton — Memory Care,,Enabled
Search — Memory Care (Denver Metro),Ken Caryl — Memory Care,,Enabled
Search — Memory Care (Denver Metro),Columbine — Memory Care,,Enabled
Search — Memory Care (Denver Metro),Columbine Valley — Memory Care,,Enabled
Search — Memory Care (Denver Metro),Bow Mar — Memory Care,,Enabled
Search — Memory Care (Denver Metro),Highlands Ranch — Memory Care,,Enabled
Search — Memory Care (Denver Metro),Englewood — Memory Care,,Enabled
Search — Memory Care (Denver Metro),Arvada — Memory Care,,Enabled
Search — Memory Care (Denver Metro),Wheat Ridge — Memory Care,,Enabled
Search — Memory Care (Denver Metro),Westminster — Memory Care,,Enabled
Search — Memory Care (Denver Metro),Golden — Memory Care,,Enabled
Search — Memory Care (Denver Metro),Lakewood — Memory Care,,Enabled
Search — Memory Care (Denver Metro),Morrison — Memory Care,,Enabled
Search — Independent Living (Denver Metro),Golden — Independent Living,,Enabled
Search — Independent Living (Denver Metro),Lakewood — Independent Living,,Enabled
Search — Independent Living (Denver Metro),Arvada — Independent Living,,Enabled
Search — Independent Living (Denver Metro),Morrison — Independent Living,,Enabled
Search — Brand — Stage Senior,Stage Senior Brand,,Enabled
Search — Brand — Communities,The Gardens at Columbine,,Enabled
Search — Brand — Communities,The Gardens on Quail,,Enabled
Search — Brand — Communities,Stonebridge Senior,,Enabled
Search — Brand — Communities,Golden Pond,,Enabled
