communitySlug,planSlug,name,bedrooms,bathrooms,squareFeet,highlights,images,specPdfUrl,accessible,startingRateDisplay,sortPriority
the-gardens-on-columbine,studio-assisted-living,Studio – Assisted Living,0,1,364,Cozy studio with private bath and kitchenette.,,,FALSE,"Starting at $5,245/mo",1
the-gardens-on-columbine,one-bed-assisted-living,One Bedroom – Assisted Living,1,1,450,Separate bedroom and living area; easy-access bath.,,,TRUE,"Starting at $5,700/mo",2
the-gardens-on-columbine,studio-memory-care,Studio – Memory Care,0,1,340,Secure suite designed for safety and comfort.,,,FALSE,"Starting at $8,500/mo",3
the-gardens-on-quail,studio-assisted-living,Studio – Assisted Living,0,1,350,Compact private suite with accessible bathroom.,,,FALSE,"Starting at $5,770/mo",1
the-gardens-on-quail,one-bed-assisted-living,One Bedroom – Assisted Living,1,1,485,Comfortable one‑bedroom with kitchenette and living space.,,,TRUE,"Starting at $6,500/mo",2
the-gardens-on-quail,two-bed-assisted-living,Two Bedroom – Assisted Living,2,1,705,Companion layout with Jack & Jill bath.,,,FALSE,"Starting at $7,500/mo",3
golden-pond,studio-assisted-living,Studio – Assisted Living,0,1,370,Cozy studio with private bath and kitchenette.,https://cdn.prod.website-files.com/64b0cfee8f0d1851d628822b/64c15bf3aefb756832171b4d_standard.webp,,TRUE,"Starting at $4,500/mo",1
golden-pond,one-bed-independent,One Bedroom – Independent Living,1,1,700,Bright apartment with full kitchen and views.,https://cdn.prod.website-files.com/64b0cfee8f0d1851d628822b/64c157140e24344541e96a3d_i-1.webp,,FALSE,"Starting at $3,855/mo",2
golden-pond,two-bed-assisted-living,Two Bedroom – Assisted Living,2,2,1000,Spacious layout with two baths and large living area.,https://cdn.prod.website-files.com/64b0cfee8f0d1851d628822b/64c15b04b0f0bd266146ca72_al-2bedroom-size.webp,,FALSE,"Starting at $6,000/mo",3
stonebridge-assisted-living,studio-assisted-living,Studio – Assisted Living,0,1,450,Open studio with ADA-compliant bath and kitchenette.,https://cdn.prod.website-files.com/65cdea0cc4a584943a230b87/661e61c33fb6612bcdd3143a_2867.webp,,TRUE,"Starting at $5,935/mo",1
stonebridge-assisted-living,one-bed-assisted-living,One Bedroom – Assisted Living,1,1,600,Modern one‑bedroom with separate living space.,https://cdn.prod.website-files.com/65cdea0cc4a584943a230b87/6613b31f5b2977b8506455a9_Photo%20Eleven.webp,,FALSE,"Starting at $6,500/mo",2
stonebridge-assisted-living,studio-memory-care,Studio – Memory Care,0,1,400,Secure memory care studio with private bath.,https://cdn.prod.website-files.com/65cdea0cc4a584943a230b87/66165b7aded0a4682a2c2bab_Marquee%20Image%20Three.webp,,FALSE,"Starting at $8,000/mo",3
