Community,Category,Item,Description,Priority,Specifications,Quantity,Current Status,Notes
Golden Pond,Branding,Community Logo,Main logo for website header and materials,High,"PNG with transparency, min 2000px wide, white version for dark backgrounds",1,Missing,Need both color and white versions
Golden Pond,Branding,Favicon,Small icon for browser tab,Medium,"ICO or PNG, 512x512px",1,Missing,
Golden Pond,Hero Images,Main Hero Image,Primary image for community homepage,High,"High-resolution JPEG, min 1920x1080px, landscape orientation",1,Missing,Should showcase building exterior or grounds
Golden Pond,Hero Images,Secondary Hero Images,Additional hero rotation images,Medium,"High-resolution JPEG, min 1920x1080px",2-3,Missing,Mountain views or courtyard recommended
Golden Pond,Gallery - Environment,Exterior Building Shot,Front view of main building with signage,High,"JPEG, min 1200x800px",1,Missing,
Golden Pond,Gallery - Environment,Courtyard with Pergola,Lush courtyard showing water features and pergola,High,"JPEG, min 1200x800px",1,Placeholder URL,Replace with actual photo
Golden Pond,Gallery - Environment,Mountain Views,Views of North Table Mountain from grounds,High,"JPEG, min 1200x800px",1,Placeholder URL,Replace with actual photo
Golden Pond,Gallery - Environment,Walking Paths,Garden walking paths with landscaping,Medium,"JPEG, min 1200x800px",2,Placeholder URL,Replace with actual photo
Golden Pond,Gallery - Environment,Water Features,Ponds and water features on campus,Medium,"JPEG, min 1200x800px",1,Placeholder URL,Replace with actual photo
Golden Pond,Gallery - Amenities,Dining Room,Restaurant-style dining room setup,High,"JPEG, min 1200x800px",1,Placeholder URL,Replace with actual photo
Golden Pond,Gallery - Amenities,Private Dining Room,Private family dining room,Medium,"JPEG, min 1200x800px",1,Placeholder URL,Replace with actual photo
Golden Pond,Gallery - Amenities,Fitness Center,Residents using fitness equipment,Medium,"JPEG, min 1200x800px",1,Placeholder URL,Replace with actual photo
Golden Pond,Gallery - Amenities,Library,Cozy library with fireplace,Medium,"JPEG, min 1200x800px",1,Placeholder URL,Replace with actual photo
Golden Pond,Gallery - Amenities,Salon,On-site salon interior,Low,"JPEG, min 1200x800px",1,Missing,
